iter	Passed	Remaining
0	19	9856
1	38	9674
2	58	9671
3	77	9640
4	96	9594
5	116	9569
6	135	9535
7	154	9523
8	174	9527
9	194	9511
10	213	9499
11	233	9484
12	252	9465
13	272	9447
14	291	9435
15	311	9413
16	330	9377
17	348	9337
18	367	9300
19	386	9273
20	405	9247
21	423	9208
22	442	9180
23	461	9162
24	480	9135
25	499	9111
26	518	9075
27	536	9050
28	555	9023
29	574	9002
30	592	8966
31	611	8942
32	629	8914
33	648	8893
34	667	8871
35	685	8834
36	704	8814
37	722	8779
38	740	8748
39	758	8722
40	776	8693
41	795	8673
42	813	8648
43	832	8629
44	851	8610
45	869	8582
46	888	8560
47	906	8533
48	924	8513
49	943	8487
50	961	8467
51	980	8445
52	999	8425
53	1016	8399
54	1036	8382
55	1053	8355
56	1072	8337
57	1090	8312
58	1108	8288
59	1128	8272
60	1147	8254
61	1166	8237
62	1184	8216
63	1203	8199
64	1222	8178
65	1241	8161
66	1259	8142
67	1277	8118
68	1296	8098
69	1314	8076
70	1333	8059
71	1352	8039
72	1371	8019
73	1389	7998
74	1407	7976
75	1426	7957
76	1445	7938
77	1463	7920
78	1482	7899
79	1500	7876
80	1519	7860
81	1538	7840
82	1556	7820
83	1575	7802
84	1594	7784
85	1612	7764
86	1631	7743
87	1649	7724
88	1668	7703
89	1686	7683
90	1704	7660
91	1722	7639
92	1741	7620
93	1758	7597
94	1776	7573
95	1794	7552
96	1813	7532
97	1831	7512
98	1850	7494
99	1868	7475
100	1887	7455
101	1905	7435
102	1923	7414
103	1942	7396
104	1960	7375
105	1979	7356
106	1998	7339
107	2017	7323
108	2036	7304
109	2055	7287
110	2073	7265
111	2092	7249
112	2110	7229
113	2129	7211
114	2148	7191
115	2166	7171
116	2185	7153
117	2203	7131
118	2220	7110
119	2239	7092
120	2257	7072
121	2276	7052
122	2294	7032
123	2313	7013
124	2331	6994
125	2350	6976
126	2368	6956
127	2386	6936
128	2405	6917
129	2423	6897
130	2441	6878
131	2460	6858
132	2478	6837
133	2495	6817
134	2515	6799
135	2533	6782
136	2552	6764
137	2571	6744
138	2589	6724
139	2607	6705
140	2625	6685
141	2644	6666
142	2662	6646
143	2680	6626
144	2699	6608
145	2716	6587
146	2735	6567
147	2753	6548
148	2771	6528
149	2790	6511
150	2809	6492
151	2826	6471
152	2844	6451
153	2863	6433
154	2881	6414
155	2900	6396
156	2918	6377
157	2937	6357
158	2955	6337
159	2973	6319
160	2992	6301
161	3011	6284
162	3029	6263
163	3048	6245
164	3066	6226
165	3085	6208
166	3103	6188
167	3122	6171
168	3141	6152
169	3159	6133
170	3177	6114
171	3195	6094
172	3214	6075
173	3233	6057
174	3251	6037
175	3269	6019
176	3289	6002
177	3307	5982
178	3324	5962
179	3343	5943
180	3361	5924
181	3380	5906
182	3398	5887
183	3416	5867
184	3435	5849
185	3453	5830
186	3472	5812
187	3491	5794
188	3509	5774
189	3528	5756
190	3546	5737
191	3564	5718
192	3582	5699
193	3601	5680
194	3619	5660
195	3637	5642
196	3655	5622
197	3673	5603
198	3691	5583
199	3710	5565
200	3728	5546
201	3747	5528
202	3765	5508
203	3783	5489
204	3801	5470
205	3819	5451
206	3838	5432
207	3856	5413
208	3873	5393
209	3891	5374
210	3910	5355
211	3927	5335
212	3945	5316
213	3963	5297
214	3981	5278
215	3999	5258
216	4017	5238
217	4034	5219
218	4052	5199
219	4069	5179
220	4088	5160
221	4105	5141
222	4123	5121
223	4140	5102
224	4158	5082
225	4175	5062
226	4193	5043
227	4210	5023
228	4229	5004
229	4247	4985
230	4265	4967
231	4283	4948
232	4301	4929
233	4319	4910
234	4338	4891
235	4356	4873
236	4375	4855
237	4393	4836
238	4412	4818
239	4430	4799
240	4448	4780
241	4466	4761
242	4484	4742
243	4502	4724
244	4520	4705
245	4538	4686
246	4556	4667
247	4575	4648
248	4592	4629
249	4610	4610
250	4629	4592
251	4647	4573
252	4665	4554
253	4683	4535
254	4701	4516
255	4719	4498
256	4737	4479
257	4755	4460
258	4773	4441
259	4791	4422
260	4809	4403
261	4828	4386
262	4846	4367
263	4864	4348
264	4883	4330
265	4901	4312
266	4919	4293
267	4937	4274
268	4955	4255
269	4973	4236
270	4991	4217
271	5009	4198
272	5026	4179
273	5044	4161
274	5062	4142
275	5080	4123
276	5098	4104
277	5116	4085
278	5134	4066
279	5152	4048
280	5170	4029
281	5187	4010
282	5205	3991
283	5223	3972
284	5241	3953
285	5259	3935
286	5276	3916
287	5294	3897
288	5312	3878
289	5330	3860
290	5348	3841
291	5366	3822
292	5384	3803
293	5402	3785
294	5420	3766
295	5437	3747
296	5455	3728
297	5473	3710
298	5491	3691
299	5509	3673
300	5527	3654
301	5545	3635
302	5563	3617
303	5581	3598
304	5599	3579
305	5617	3561
306	5635	3542
307	5653	3524
308	5671	3505
309	5689	3487
310	5707	3468
311	5725	3449
312	5743	3431
313	5760	3412
314	5778	3393
315	5796	3375
316	5814	3356
317	5832	3338
318	5850	3319
319	5868	3300
320	5885	3282
321	5903	3263
322	5921	3244
323	5939	3226
324	5957	3207
325	5974	3189
326	5992	3170
327	6010	3151
328	6028	3133
329	6046	3114
330	6064	3096
331	6082	3077
332	6099	3059
333	6117	3040
334	6135	3021
335	6153	3003
336	6171	2984
337	6189	2966
338	6206	2947
339	6224	2929
340	6242	2910
341	6260	2892
342	6278	2873
343	6296	2855
344	6314	2836
345	6331	2818
346	6349	2799
347	6367	2781
